Policy_Sequence,,Q,Tp,Tnp,p,W1,W2,arrival_rate,gamma,Policy_Type,Switch_Index,Full Policy,,,,Tnp,p,Lambda,T,W1,Gamma,,,,,,Tp,Tnp,p,W1,W2,arrival_rate,gamma,,,Tnp,p,Lambda,T,W1,Gamma
"[0, 0, 0, 0, 0, 2]",30.10.611120.6,5,1,3,0.1,112,1,0.6,0.663333333,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.611120.7,5,1,3,0.1,112,1,0.6,0.772222222,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.611120.8,5,1,3,0.1,112,1,0.6,0.881111111,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.611120.9,5,1,3,0.1,112,1,0.6,0.99,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 2, 2, 2]",30.10.112230,5,1,3,0.1,223,1,0.1,0.01,Threshold,4,Threshold_4,,"[0, 0, 0, 2, 2, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 2, 2, 2, 2]",30.10.112230.1,5,1,3,0.1,223,1,0.1,0.118888889,Threshold,3,Threshold_3,,"[0, 0, 2, 2, 2, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 2, 2, 2, 2]",30.10.112230.2,5,1,3,0.1,223,1,0.1,0.227777778,Threshold,3,Threshold_3,,"[0, 0, 2, 2, 2, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 2, 2, 2, 2]",30.10.112230.3,5,1,3,0.1,223,1,0.1,0.336666667,Threshold,3,Threshold_3,,"[0, 0, 2, 2, 2, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 2, 2, 2, 2]",30.10.112230.4,5,1,3,0.1,223,1,0.1,0.445555556,Threshold,3,Threshold_3,,"[0, 0, 2, 2, 2, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 2, 2, 2, 2]",30.10.112230.5,5,1,3,0.1,223,1,0.1,0.554444444,Threshold,3,Threshold_3,,"[0, 0, 2, 2, 2, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 2, 2, 2, 2]",30.10.112230.6,5,1,3,0.1,223,1,0.1,0.663333333,Threshold,3,Threshold_3,,"[0, 0, 2, 2, 2, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 2, 2, 2, 2]",30.10.112230.7,5,1,3,0.1,223,1,0.1,0.772222222,Threshold,3,Threshold_3,,"[0, 0, 2, 2, 2, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
